Model,MDO3024
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.1,
Horizontal Delay,0,
Sample Interval,0.001,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,0.5
Vertical Position,0,0
,,
,,
,,
Label,,
TIME,CH1,CH2
-3.12e-01,1.68,0.06
-3.11e-01,1.6,0.08
-3.10e-01,1.76,0.06
-3.09e-01,1.68,0.1
-3.08e-01,1.76,0.08
-3.07e-01,1.84,0.08
-3.06e-01,1.84,0.1
-3.05e-01,1.84,0.1
-3.04e-01,1.84,0.1
-3.03e-01,1.92,0.14
-3.02e-01,1.92,0.12
-3.01e-01,1.84,0.14
-3.00e-01,1.92,0.14
-2.99e-01,1.92,0.16
-2.98e-01,2.08,0.16
-2.97e-01,2,0.18
-2.96e-01,2,0.18
-2.95e-01,2.08,0.22
-2.94e-01,2.08,0.24
-2.93e-01,2.16,0.22
-2.92e-01,2.16,0.26
-2.91e-01,2.24,0.28
-2.90e-01,2.24,0.28
-2.89e-01,2.24,0.32
-2.88e-01,2.24,0.36
-2.87e-01,2.24,0.32
-2.86e-01,2.32,0.36
-2.85e-01,2.32,0.38
-2.84e-01,2.4,0.4
-2.83e-01,2.4,0.44
-2.82e-01,2.4,0.44
-2.81e-01,2.48,0.46
-2.80e-01,2.56,0.48
-2.79e-01,2.48,0.5
-2.78e-01,2.48,0.5
-2.77e-01,2.48,0.52
-2.76e-01,2.56,0.5
-2.75e-01,2.56,0.52
-2.74e-01,2.64,0.52
-2.73e-01,2.72,0.5
-2.72e-01,2.72,0.48
-2.71e-01,2.64,0.5
-2.70e-01,2.72,0.52
-2.69e-01,2.72,0.48
-2.68e-01,2.72,0.48
-2.67e-01,2.8,0.48
-2.66e-01,2.8,0.44
-2.65e-01,2.72,0.46
-2.64e-01,2.88,0.44
-2.63e-01,2.8,0.44
-2.62e-01,2.88,0.42
-2.61e-01,2.8,0.4
-2.60e-01,2.88,0.42
-2.59e-01,2.96,0.4
-2.58e-01,2.96,0.38
-2.57e-01,2.96,0.38
-2.56e-01,3.04,0.38
-2.55e-01,3.04,0.36
-2.54e-01,3.04,0.36
-2.53e-01,3.04,0.32
-2.52e-01,3.12,0.3
-2.51e-01,3.04,0.3
-2.50e-01,3.28,0.3
-2.49e-01,3.2,0.28
-2.48e-01,3.2,0.26
-2.47e-01,3.12,0.26
-2.46e-01,3.28,0.22
-2.45e-01,3.28,0.2
-2.44e-01,3.36,0.2
-2.43e-01,3.36,0.2
-2.42e-01,3.44,0.16
-2.41e-01,3.44,0.14
-2.40e-01,3.44,0.14
-2.39e-01,3.52,0.14
-2.38e-01,3.52,0.12
-2.37e-01,3.52,0.08
-2.36e-01,3.52,0.1
-2.35e-01,3.52,0.08
-2.34e-01,3.68,0.08
-2.33e-01,3.6,0.1
-2.32e-01,3.6,0.1
-2.31e-01,3.6,0.1
-2.30e-01,3.76,0.08
-2.29e-01,3.76,0.1
-2.28e-01,3.76,0.08
-2.27e-01,3.84,0.1
-2.26e-01,3.84,0.12
-2.25e-01,3.76,0.1
-2.24e-01,3.68,0.12
-2.23e-01,3.68,0.1
-2.22e-01,3.6,0.12
-2.21e-01,3.6,0.12
-2.20e-01,3.6,0.16
-2.19e-01,3.6,0.16
-2.18e-01,3.52,0.16
-2.17e-01,3.52,0.14
-2.16e-01,3.52,0.14
-2.15e-01,3.36,0.14
-2.14e-01,3.44,0.16
-2.13e-01,3.36,0.16
-2.12e-01,3.44,0.14
-2.11e-01,3.36,0.14
-2.10e-01,3.28,0.14
-2.09e-01,3.28,0.14
-2.08e-01,3.36,0.12
-2.07e-01,3.28,0.12
-2.06e-01,3.36,0.14
-2.05e-01,3.2,0.1
-2.04e-01,3.2,0.12
-2.03e-01,3.12,0.1
-2.02e-01,3.12,0.1
-2.01e-01,3.2,0.1
-2.00e-01,3.12,0.1
-1.99e-01,3.12,0.1
-1.98e-01,2.96,0.1
-1.97e-01,3.04,0.1
-1.96e-01,3.04,0.08
-1.95e-01,2.88,0.06
-1.94e-01,2.96,0.06
-1.93e-01,2.88,0.08
-1.92e-01,2.96,0.1
-1.91e-01,2.8,0.08
-1.90e-01,2.8,0.1
-1.89e-01,2.8,0.1
-1.88e-01,2.8,0.12
-1.87e-01,2.72,0.1
-1.86e-01,2.72,0.12
-1.85e-01,2.72,0.14
-1.84e-01,2.72,0.14
-1.83e-01,2.64,0.18
-1.82e-01,2.64,0.16
-1.81e-01,2.64,0.2
-1.80e-01,2.56,0.22
-1.79e-01,2.64,0.24
-1.78e-01,2.56,0.24
-1.77e-01,2.56,0.28
-1.76e-01,2.56,0.3
-1.75e-01,2.4,0.28
-1.74e-01,2.48,0.3
-1.73e-01,2.48,0.36
-1.72e-01,2.32,0.34
-1.71e-01,2.4,0.34
-1.70e-01,2.48,0.34
-1.69e-01,2.4,0.38
-1.68e-01,2.24,0.36
-1.67e-01,2.32,0.36
-1.66e-01,2.24,0.38
-1.65e-01,2.16,0.4
-1.64e-01,2.24,0.42
-1.63e-01,2.24,0.4
-1.62e-01,2.24,0.44
-1.61e-01,2.08,0.46
-1.60e-01,2.08,0.44
-1.59e-01,2,0.46
-1.58e-01,2.08,0.46
-1.57e-01,2.08,0.46
-1.56e-01,2.08,0.48
-1.55e-01,1.84,0.5
-1.54e-01,2,0.5
-1.53e-01,1.92,0.5
-1.52e-01,2,0.52
-1.51e-01,1.92,0.5
-1.50e-01,1.92,0.5
-1.49e-01,1.84,0.5
-1.48e-01,1.76,0.5
-1.47e-01,1.76,0.5
-1.46e-01,1.68,0.5
-1.45e-01,1.68,0.48
-1.44e-01,1.76,0.48
-1.43e-01,1.68,0.44
-1.42e-01,1.68,0.42
-1.41e-01,1.68,0.4
-1.40e-01,1.68,0.38
-1.39e-01,1.68,0.36
-1.38e-01,1.52,0.34
-1.37e-01,1.52,0.32
-1.36e-01,1.52,0.32
-1.35e-01,1.6,0.28
-1.34e-01,1.52,0.28
-1.33e-01,1.36,0.26
-1.32e-01,1.44,0.26
-1.31e-01,1.44,0.22
-1.30e-01,1.44,0.2
-1.29e-01,1.36,0.2
-1.28e-01,1.36,0.18
-1.27e-01,1.28,0.18
-1.26e-01,1.28,0.16
-1.25e-01,1.28,0.14
-1.24e-01,1.2,0.14
-1.23e-01,1.2,0.14
-1.22e-01,1.12,0.1
-1.21e-01,1.2,0.12
-1.20e-01,1.12,0.12
-1.19e-01,1.04,0.1
-1.18e-01,1.04,0.08
-1.17e-01,1.04,0.08
-1.16e-01,1.04,0.08
-1.15e-01,1.04,0.08
-1.14e-01,0.96,0.1
-1.13e-01,0.96,0.08
-1.12e-01,0.96,0.08
-1.11e-01,1.04,0.1
-1.10e-01,0.88,0.1
-1.09e-01,0.8,0.08
-1.08e-01,0.72,0.1
-1.07e-01,0.8,0.1
-1.06e-01,0.8,0.14
-1.05e-01,0.72,0.14
-1.04e-01,0.72,0.16
-1.03e-01,0.72,0.18
-1.02e-01,0.72,0.2
-1.01e-01,0.56,0.18
-1.00e-01,0.64,0.22
-9.90e-02,0.56,0.2
-9.80e-02,0.64,0.24
-9.70e-02,0.56,0.26
-9.60e-02,0.56,0.24
-9.50e-02,0.56,0.3
-9.40e-02,0.4,0.3
-9.30e-02,0.4,0.3
-9.20e-02,0.4,0.32
-9.10e-02,0.4,0.34
-9.00e-02,0.4,0.32
-8.90e-02,0.4,0.34
-8.80e-02,0.32,0.36
-8.70e-02,0.32,0.36
-8.60e-02,0.24,0.38
-8.50e-02,0.32,0.36
-8.40e-02,0.24,0.38
-8.30e-02,0.16,0.38
-8.20e-02,0.24,0.38
-8.10e-02,0.16,0.38
-8.00e-02,0.16,0.42
-7.90e-02,0.08,0.42
-7.80e-02,0.16,0.42
-7.70e-02,0,0.44
-7.60e-02,0.08,0.44
-7.50e-02,0,0.44
-7.40e-02,0,0.42
-7.30e-02,0,0.44
-7.20e-02,0,0.46
-7.10e-02,0,0.46
-7.00e-02,0,0.46
-6.90e-02,0,0.46
-6.80e-02,0.08,0.46
-6.70e-02,0.08,0.46
-6.60e-02,0.16,0.46
-6.50e-02,0.16,0.48
-6.40e-02,0.16,0.5
-6.30e-02,0.24,0.48
-6.20e-02,0.16,0.48
-6.10e-02,0.24,0.48
-6.00e-02,0.32,0.52
-5.90e-02,0.32,0.5
-5.80e-02,0.32,0.5
-5.70e-02,0.32,0.52
-5.60e-02,0.32,0.5
-5.50e-02,0.4,0.5
-5.40e-02,0.4,0.52
-5.30e-02,0.48,0.5
-5.20e-02,0.4,0.5
-5.10e-02,0.56,0.5
-5.00e-02,0.48,0.52
-4.90e-02,0.56,0.5
-4.80e-02,0.48,0.5
-4.70e-02,0.56,0.52
-4.60e-02,0.64,0.5
-4.50e-02,0.64,0.5
-4.40e-02,0.64,0.5
-4.30e-02,0.64,0.5
-4.20e-02,0.72,0.5
-4.10e-02,0.88,0.5
-4.00e-02,0.72,0.5
-3.90e-02,0.8,0.5
-3.80e-02,0.8,0.48
-3.70e-02,0.8,0.48
-3.60e-02,0.88,0.48
-3.50e-02,0.96,0.48
-3.40e-02,0.96,0.44
-3.30e-02,0.88,0.42
-3.20e-02,0.88,0.44
-3.10e-02,1.04,0.4
-3.00e-02,0.96,0.42
-2.90e-02,1.04,0.42
-2.80e-02,1.04,0.4
-2.70e-02,1.04,0.38
-2.60e-02,1.12,0.38
-2.50e-02,1.04,0.34
-2.40e-02,1.2,0.32
-2.30e-02,1.12,0.34
-2.20e-02,1.2,0.34
-2.10e-02,1.2,0.34
-2.00e-02,1.2,0.28
-1.90e-02,1.28,0.28
-1.80e-02,1.36,0.28
-1.70e-02,1.2,0.24
-1.60e-02,1.36,0.22
-1.50e-02,1.44,0.24
-1.40e-02,1.36,0.18
-1.30e-02,1.44,0.18
-1.20e-02,1.44,0.14
-1.10e-02,1.44,0.16
-1.00e-02,1.52,0.14
-9.00e-03,1.44,0.12
-8.00e-03,1.52,0.14
-7.00e-03,1.52,0.1
-6.00e-03,1.68,0.08
-5.00e-03,1.52,0.1
-4.00e-03,1.6,0.1
-3.00e-03,1.68,0.08
-2.00e-03,1.68,0.06
-1.00e-03,1.76,0.1
0.00e+00,1.68,0.08
1.00e-03,1.76,0.1
2.00e-03,1.76,0.1
3.00e-03,1.84,0.08
4.00e-03,1.76,0.1
5.00e-03,1.92,0.1
6.00e-03,1.84,0.12
7.00e-03,1.92,0.12
8.00e-03,1.92,0.14
9.00e-03,1.84,0.14
1.00e-02,2,0.16
1.10e-02,1.92,0.14
1.20e-02,2,0.18
1.30e-02,2.08,0.18
1.40e-02,2.08,0.2
1.50e-02,2.16,0.2
1.60e-02,2.08,0.22
1.70e-02,2.16,0.24
1.80e-02,2.16,0.26
1.90e-02,2.24,0.28
2.00e-02,2.24,0.28
2.10e-02,2.32,0.32
2.20e-02,2.32,0.34
2.30e-02,2.32,0.34
2.40e-02,2.24,0.36
2.50e-02,2.32,0.38
2.60e-02,2.4,0.42
2.70e-02,2.32,0.44
2.80e-02,2.48,0.44
2.90e-02,2.48,0.44
3.00e-02,2.4,0.46
3.10e-02,2.48,0.48
3.20e-02,2.48,0.48
3.30e-02,2.56,0.48
3.40e-02,2.56,0.5
3.50e-02,2.56,0.52
3.60e-02,2.56,0.5
3.70e-02,2.56,0.5
3.80e-02,2.64,0.5
3.90e-02,2.72,0.5
4.00e-02,2.72,0.52
4.10e-02,2.72,0.48
4.20e-02,2.64,0.48
4.30e-02,2.8,0.48
4.40e-02,2.8,0.44
4.50e-02,2.8,0.44
4.60e-02,2.8,0.44
4.70e-02,2.88,0.44
4.80e-02,2.88,0.44
4.90e-02,2.96,0.42
5.00e-02,2.96,0.42
5.10e-02,2.88,0.4
5.20e-02,3.04,0.38
5.30e-02,2.96,0.38
5.40e-02,3.04,0.34
5.50e-02,3.12,0.36
5.60e-02,3.12,0.34
5.70e-02,3.2,0.34
5.80e-02,3.12,0.3
5.90e-02,3.12,0.3
6.00e-02,3.12,0.3
6.10e-02,3.2,0.28
6.20e-02,3.2,0.26
6.30e-02,3.2,0.24
6.40e-02,3.2,0.24
6.50e-02,3.36,0.22
6.60e-02,3.28,0.2
6.70e-02,3.28,0.18
6.80e-02,3.36,0.14
6.90e-02,3.36,0.12
7.00e-02,3.44,0.12
7.10e-02,3.44,0.12
7.20e-02,3.52,0.1
7.30e-02,3.52,0.1
7.40e-02,3.44,0.1
7.50e-02,3.52,0.08
7.60e-02,3.6,0.06
7.70e-02,3.6,0.08
7.80e-02,3.6,0.08
7.90e-02,3.6,0.08
8.00e-02,3.68,0.08
8.10e-02,3.68,0.08
8.20e-02,3.76,0.08
8.30e-02,3.68,0.1
8.40e-02,3.76,0.12
8.50e-02,3.76,0.12
8.60e-02,3.68,0.12
8.70e-02,3.68,0.14
8.80e-02,3.6,0.14
8.90e-02,3.6,0.14
9.00e-02,3.6,0.14
9.10e-02,3.6,0.16
9.20e-02,3.44,0.16
9.30e-02,3.6,0.16
9.40e-02,3.44,0.14
9.50e-02,3.52,0.16
9.60e-02,3.44,0.14
9.70e-02,3.44,0.14
9.80e-02,3.44,0.14
9.90e-02,3.28,0.14
1.00e-01,3.36,0.14
1.01e-01,3.36,0.12
1.02e-01,3.28,0.12
1.03e-01,3.28,0.12
1.04e-01,3.2,0.14
1.05e-01,3.2,0.12
1.06e-01,3.28,0.1
1.07e-01,3.2,0.1
1.08e-01,3.2,0.1
1.09e-01,3.04,0.1
1.10e-01,3.12,0.1
1.11e-01,2.96,0.1
1.12e-01,3.04,0.08
1.13e-01,3.04,0.1
1.14e-01,3.04,0.1
1.15e-01,2.88,0.06
1.16e-01,2.88,0.08
1.17e-01,2.96,0.08
1.18e-01,2.96,0.06
1.19e-01,2.8,0.1
1.20e-01,2.88,0.08
1.21e-01,2.8,0.12
1.22e-01,2.8,0.12
1.23e-01,2.8,0.12
1.24e-01,2.72,0.12
1.25e-01,2.72,0.14
1.26e-01,2.64,0.16
1.27e-01,2.64,0.16
1.28e-01,2.56,0.18
1.29e-01,2.56,0.2
1.30e-01,2.64,0.2
1.31e-01,2.56,0.2
1.32e-01,2.56,0.24
1.33e-01,2.48,0.28
1.34e-01,2.56,0.26
1.35e-01,2.4,0.3
1.36e-01,2.4,0.3
1.37e-01,2.4,0.32
1.38e-01,2.4,0.32
1.39e-01,2.4,0.34
1.40e-01,2.4,0.34
1.41e-01,2.24,0.36
1.42e-01,2.32,0.38
1.43e-01,2.24,0.36
1.44e-01,2.24,0.4
1.45e-01,2.24,0.4
1.46e-01,2.16,0.44
1.47e-01,2.24,0.4
1.48e-01,2.08,0.42
1.49e-01,2.16,0.46
1.50e-01,2.16,0.44
